pos_feature,neg_feature,pos_corr,neg_corr,net_corr,cancellation_score,pos_act_rate,neg_act_rate,co_activation_rate,rank
206,15,0.602889673969007,-0.6028435073765708,4.616659243616983e-05,4.616659243616983e-05,1.0,0.09583333333333334,0.09583333333333334,1
27,189,0.6505355948218398,-0.6504850113981717,5.058342366803803e-05,5.058342366803803e-05,1.0,0.09583333333333334,0.09583333333333334,2
172,22,0.6094814046547452,-0.6094051804984358,7.622415630936796e-05,7.622415630936796e-05,0.9625,1.0,0.9625,3
145,178,0.6431405902837999,-0.6432241595135628,-8.356922976293646e-05,8.356922976293646e-05,1.0,0.09583333333333334,0.09583333333333334,4
19,248,0.6092279236640267,-0.6091056476203557,0.000122276043670988,0.000122276043670988,0.7625,1.0,0.7625,5
82,189,0.6506200662328482,-0.6504850113981717,0.0001350548346764624,0.0001350548346764624,1.0,0.09583333333333334,0.09583333333333334,6
103,39,0.594990506781547,-0.5951329572611477,-0.00014245047960070867,0.00014245047960070867,1.0,1.0,1.0,7
19,22,0.6092279236640267,-0.6094051804984358,-0.0001772568344091674,0.0001772568344091674,0.7625,1.0,0.7625,8
133,170,0.6112355282385853,-0.6114154861975852,-0.00017995795899994338,0.00017995795899994338,1.0,0.09583333333333334,0.09583333333333334,9
72,88,0.6355621754747157,-0.6353614286165407,0.00020074685817506044,0.00020074685817506044,1.0,0.09583333333333334,0.09583333333333334,10
107,190,0.620579407412887,-0.6203363275283025,0.00024307988458449614,0.00024307988458449614,1.0,1.0,1.0,11
224,119,0.6200062755817094,-0.6202596104052097,-0.00025333482350031744,0.00025333482350031744,0.9041666666666667,1.0,0.9041666666666667,12
225,31,0.6320721712490251,-0.6323504554813959,-0.0002782842323707513,0.0002782842323707513,0.9958333333333333,0.09583333333333334,0.09166666666666666,13
66,73,0.6323163604092393,-0.6325993729423277,-0.00028301253308837815,0.00028301253308837815,0.9041666666666667,0.37083333333333335,0.275,14
192,123,0.644143973987965,-0.6438465784155137,0.00029739557245123116,0.00029739557245123116,1.0,0.09583333333333334,0.09583333333333334,15
107,119,0.620579407412887,-0.6202596104052097,0.00031979700767725827,0.00031979700767725827,1.0,1.0,1.0,16
224,190,0.6200062755817094,-0.6203363275283025,-0.00033005194659307957,0.00033005194659307957,0.9041666666666667,1.0,0.9041666666666667,17
179,120,0.6317333141341026,-0.6313850988554638,0.0003482152786388193,0.0003482152786388193,1.0,0.07083333333333333,0.07083333333333333,18
172,248,0.6094814046547452,-0.6091056476203557,0.00037575703438952335,0.00037575703438952335,0.9625,1.0,0.9625,19
72,75,0.6355621754747157,-0.6351760319433113,0.0003861435314044259,0.0003861435314044259,1.0,0.09166666666666666,0.09166666666666666,20
